"SID","Semantic_Similarity_mean","Semantic_Similarity_std","Frequency_Value_mean","Frequency_Value_std","Phonological_Similarity_mean","Phonological_Similarity_std","#_of_Items","Switch_Method","Number_of_Switches","Cluster_Size_mean","Cluster_Size_std"
"528353180",0.702250398084238,0.125684427564122,4.07916666666667,0.575219554806583,0.131434782608696,0.130111384480919,24,"delta_rise=0.0_fall=0.0",15,1.5,0.707106781186548
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.0_fall=0.2",13,1.71428571428571,1.33248272186983
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.0_fall=0.5",9,2.4,2.00997512422418
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.0_fall=0.8",8,2.66666666666667,3.43187671366233
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.0_fall=1.0",5,4,5.47722557505166
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.2_fall=0.0",17,1.33333333333333,0.577350269189626
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.2_fall=0.2",14,1.6,1.30639452948436
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.2_fall=0.5",11,2,1.82574185835055
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.2_fall=0.8",10,2.18181818181818,3.12811827892459
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.2_fall=1.0",7,3,4.92442890089805
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.5_fall=0.0",17,1.33333333333333,0.577350269189626
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.5_fall=0.2",14,1.6,1.30639452948436
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.5_fall=0.5",11,2,1.82574185835055
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.5_fall=0.8",10,2.18181818181818,3.12811827892459
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.5_fall=1.0",7,3,4.92442890089805
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.8_fall=0.0",18,1.26315789473684,0.546963412916488
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.8_fall=0.2",14,1.6,1.30639452948436
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.8_fall=0.5",11,2,1.82574185835055
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.8_fall=0.8",10,2.18181818181818,3.12811827892459
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.8_fall=1.0",7,3,4.92442890089805
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=1.0_fall=0.0",19,1.2,0.509901951359279
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=1.0_fall=0.2",19,1.2,0.509901951359279
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=1.0_fall=0.5",16,1.41176470588235,1.19108569007745
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=1.0_fall=0.8",10,2.18181818181818,3.12811827892459
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=1.0_fall=1.0",7,3,4.92442890089805
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodal_alpha=0.0",4,4.8,3.05941170815567
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodal_alpha=0.1",6,3.42857142857143,1.1780301787479
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodal_alpha=0.2",6,3.42857142857143,1.1780301787479
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodal_alpha=0.3",6,3.42857142857143,1.1780301787479
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodal_alpha=0.4",5,4,1.15470053837925
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodal_alpha=0.5",5,4,1.15470053837925
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodal_alpha=0.6",5,4,1.15470053837925
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodal_alpha=0.7",5,4,1.15470053837925
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodal_alpha=0.8",4,4.8,1.16619037896906
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodal_alpha=0.9",5,4,1.29099444873581
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodal_alpha=1.0",5,4,1.29099444873581
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.0_rise=0.0_fall=0.0",16,1.41176470588235,0.599884648657975
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.0_rise=0.0_fall=0.2",15,1.5,0.707106781186548
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.0_rise=0.0_fall=0.5",14,1.6,1.08320512061813
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.0_rise=0.0_fall=0.8",13,1.71428571428571,1.16057691494799
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.0_rise=0.0_fall=1.0",13,1.71428571428571,1.16057691494799
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.0_rise=0.2_fall=0.0",16,1.41176470588235,0.599884648657975
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.0_rise=0.2_fall=0.2",15,1.5,0.707106781186548
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.0_rise=0.2_fall=0.5",14,1.6,1.08320512061813
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.0_rise=0.2_fall=0.8",13,1.71428571428571,1.16057691494799
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.0_rise=0.2_fall=1.0",13,1.71428571428571,1.16057691494799
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.0_rise=0.5_fall=0.0",16,1.41176470588235,0.599884648657975
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.0_rise=0.5_fall=0.2",15,1.5,0.707106781186548
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.0_rise=0.5_fall=0.5",14,1.6,1.08320512061813
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.0_rise=0.5_fall=0.8",13,1.71428571428571,1.16057691494799
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.0_rise=0.5_fall=1.0",13,1.71428571428571,1.16057691494799
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.0_rise=0.8_fall=0.0",17,1.33333333333333,0.577350269189626
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.0_rise=0.8_fall=0.2",16,1.41176470588235,0.691020007321808
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.0_rise=0.8_fall=0.5",15,1.5,1.06066017177982
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.0_rise=0.8_fall=0.8",14,1.6,1.14309521329882
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.0_rise=0.8_fall=1.0",14,1.6,1.14309521329882
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.0_rise=1.0_fall=0.0",17,1.33333333333333,0.577350269189626
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.0_rise=1.0_fall=0.2",16,1.41176470588235,0.691020007321808
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.0_rise=1.0_fall=0.5",15,1.5,1.06066017177982
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.0_rise=1.0_fall=0.8",14,1.6,1.14309521329882
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.0_rise=1.0_fall=1.0",14,1.6,1.14309521329882
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.1_rise=0.0_fall=0.0",12,1.84615384615385,1.02628185108664
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.1_rise=0.0_fall=0.2",9,2.4,2.0591260281974
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.1_rise=0.0_fall=0.5",7,3,2.64575131106459
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.1_rise=0.0_fall=0.8",6,3.42857142857143,2.66496544373966
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.1_rise=0.0_fall=1.0",6,3.42857142857143,2.66496544373966
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.1_rise=0.2_fall=0.0",16,1.41176470588235,0.599884648657975
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.1_rise=0.2_fall=0.2",16,1.41176470588235,0.599884648657975
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.1_rise=0.2_fall=0.5",14,1.6,1.08320512061813
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.1_rise=0.2_fall=0.8",13,1.71428571428571,1.16057691494799
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.1_rise=0.2_fall=1.0",13,1.71428571428571,1.16057691494799
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.1_rise=0.5_fall=0.0",16,1.41176470588235,0.599884648657975
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.1_rise=0.5_fall=0.2",16,1.41176470588235,0.599884648657975
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.1_rise=0.5_fall=0.5",14,1.6,1.08320512061813
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.1_rise=0.5_fall=0.8",13,1.71428571428571,1.16057691494799
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.1_rise=0.5_fall=1.0",13,1.71428571428571,1.16057691494799
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.1_rise=0.8_fall=0.0",17,1.33333333333333,0.577350269189626
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.1_rise=0.8_fall=0.2",17,1.33333333333333,0.577350269189626
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.1_rise=0.8_fall=0.5",15,1.5,1.06066017177982
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.1_rise=0.8_fall=0.8",14,1.6,1.14309521329882
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.1_rise=0.8_fall=1.0",14,1.6,1.14309521329882
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.1_rise=1.0_fall=0.0",18,1.26315789473684,0.546963412916488
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.1_rise=1.0_fall=0.2",18,1.26315789473684,0.546963412916488
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.1_rise=1.0_fall=0.5",18,1.26315789473684,0.546963412916488
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.1_rise=1.0_fall=0.8",17,1.33333333333333,0.666666666666667
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.1_rise=1.0_fall=1.0",17,1.33333333333333,0.666666666666667
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.2_rise=0.0_fall=0.0",12,1.84615384615385,1.02628185108664
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.2_rise=0.0_fall=0.2",12,1.84615384615385,1.02628185108664
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.2_rise=0.0_fall=0.5",9,2.4,2.0591260281974
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.2_rise=0.0_fall=0.8",6,3.42857142857143,2.66496544373966
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.2_rise=0.0_fall=1.0",6,3.42857142857143,2.66496544373966
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.2_rise=0.2_fall=0.0",14,1.6,0.8
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.2_rise=0.2_fall=0.2",14,1.6,0.8
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.2_rise=0.2_fall=0.5",11,2,1.87082869338697
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.2_rise=0.2_fall=0.8",8,2.66666666666667,2.26077666104176
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.2_rise=0.2_fall=1.0",8,2.66666666666667,2.26077666104176
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.2_rise=0.5_fall=0.0",16,1.41176470588235,0.599884648657975
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.2_rise=0.5_fall=0.2",16,1.41176470588235,0.599884648657975
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.2_rise=0.5_fall=0.5",16,1.41176470588235,0.599884648657975
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.2_rise=0.5_fall=0.8",13,1.71428571428571,1.16057691494799
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.2_rise=0.5_fall=1.0",13,1.71428571428571,1.16057691494799
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.2_rise=0.8_fall=0.0",18,1.26315789473684,0.546963412916488
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.2_rise=0.8_fall=0.2",18,1.26315789473684,0.546963412916488
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.2_rise=0.8_fall=0.5",18,1.26315789473684,0.546963412916488
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.2_rise=0.8_fall=0.8",17,1.33333333333333,0.666666666666667
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.2_rise=0.8_fall=1.0",17,1.33333333333333,0.666666666666667
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.2_rise=1.0_fall=0.0",18,1.26315789473684,0.546963412916488
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.2_rise=1.0_fall=0.2",18,1.26315789473684,0.546963412916488
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.2_rise=1.0_fall=0.5",18,1.26315789473684,0.546963412916488
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.2_rise=1.0_fall=0.8",17,1.33333333333333,0.666666666666667
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.2_rise=1.0_fall=1.0",17,1.33333333333333,0.666666666666667
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.3_rise=0.0_fall=0.0",12,1.84615384615385,1.02628185108664
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.3_rise=0.0_fall=0.2",12,1.84615384615385,1.02628185108664
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.3_rise=0.0_fall=0.5",9,2.4,2.0591260281974
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.3_rise=0.0_fall=0.8",5,4,3.2659863237109
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.3_rise=0.0_fall=1.0",5,4,3.2659863237109
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.3_rise=0.2_fall=0.0",13,1.71428571428571,0.880630571852711
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.3_rise=0.2_fall=0.2",13,1.71428571428571,0.880630571852711
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.3_rise=0.2_fall=0.5",10,2.18181818181818,1.94553950536661
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.3_rise=0.2_fall=0.8",6,3.42857142857143,2.96922995583236
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.3_rise=0.2_fall=1.0",6,3.42857142857143,2.96922995583236
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.3_rise=0.5_fall=0.0",16,1.41176470588235,0.771463355800235
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.3_rise=0.5_fall=0.2",16,1.41176470588235,0.771463355800235
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.3_rise=0.5_fall=0.5",16,1.41176470588235,0.771463355800235
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.3_rise=0.5_fall=0.8",14,1.6,1.08320512061813
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.3_rise=0.5_fall=1.0",14,1.6,1.08320512061813
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.3_rise=0.8_fall=0.0",18,1.26315789473684,0.546963412916488
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.3_rise=0.8_fall=0.2",18,1.26315789473684,0.546963412916488
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.3_rise=0.8_fall=0.5",18,1.26315789473684,0.546963412916488
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.3_rise=0.8_fall=0.8",16,1.41176470588235,0.911290199107627
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.3_rise=0.8_fall=1.0",16,1.41176470588235,0.911290199107627
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.3_rise=1.0_fall=0.0",19,1.2,0.509901951359279
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.3_rise=1.0_fall=0.2",19,1.2,0.509901951359279
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.3_rise=1.0_fall=0.5",19,1.2,0.509901951359279
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.3_rise=1.0_fall=0.8",16,1.41176470588235,0.911290199107627
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.3_rise=1.0_fall=1.0",16,1.41176470588235,0.911290199107627
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=0.0_fall=0.0",11,2,1.22474487139159
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=0.0_fall=0.2",11,2,1.22474487139159
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=0.0_fall=0.5",11,2,1.22474487139159
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=0.0_fall=0.8",7,3,2.23606797749979
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=0.0_fall=1.0",7,3,2.23606797749979
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=0.2_fall=0.0",12,1.84615384615385,1.0986812966989
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=0.2_fall=0.2",12,1.84615384615385,1.0986812966989
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=0.2_fall=0.5",12,1.84615384615385,1.0986812966989
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=0.2_fall=0.8",8,2.66666666666667,2.16024689946929
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=0.2_fall=1.0",8,2.66666666666667,2.16024689946929
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=0.5_fall=0.0",15,1.5,1
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=0.5_fall=0.2",15,1.5,1
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=0.5_fall=0.5",15,1.5,1
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=0.5_fall=0.8",11,2,2.04124145231932
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=0.5_fall=1.0",11,2,2.04124145231932
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=0.8_fall=0.0",16,1.41176470588235,0.973702668073344
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=0.8_fall=0.2",16,1.41176470588235,0.973702668073344
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=0.8_fall=0.5",16,1.41176470588235,0.973702668073344
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=0.8_fall=0.8",15,1.5,1.06066017177982
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=0.8_fall=1.0",15,1.5,1.06066017177982
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=1.0_fall=0.0",17,1.33333333333333,0.816496580927726
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=1.0_fall=0.2",17,1.33333333333333,0.816496580927726
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=1.0_fall=0.5",17,1.33333333333333,0.816496580927726
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=1.0_fall=0.8",16,1.41176470588235,0.911290199107627
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=1.0_fall=1.0",16,1.41176470588235,0.911290199107627
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.0_fall=0.0",12,1.84615384615385,1.0986812966989
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.0_fall=0.2",12,1.84615384615385,1.0986812966989
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.0_fall=0.5",11,2,1.22474487139159
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.0_fall=0.8",7,3,2.23606797749979
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.0_fall=1.0",7,3,2.23606797749979
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.2_fall=0.0",13,1.71428571428571,1.03015750727543
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.2_fall=0.2",13,1.71428571428571,1.03015750727543
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.2_fall=0.5",12,1.84615384615385,1.0986812966989
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.2_fall=0.8",8,2.66666666666667,2.16024689946929
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.2_fall=1.0",8,2.66666666666667,2.16024689946929
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.5_fall=0.0",14,1.6,1.01980390271856
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.5_fall=0.2",14,1.6,1.01980390271856
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.5_fall=0.5",13,1.71428571428571,1.0973065354098
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.5_fall=0.8",9,2.4,2.1540659228538
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.5_fall=1.0",9,2.4,2.1540659228538
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.8_fall=0.0",15,1.5,1
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.8_fall=0.2",15,1.5,1
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.8_fall=0.5",15,1.5,1
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.8_fall=0.8",11,2,2.04124145231932
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.8_fall=1.0",11,2,2.04124145231932
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=1.0_fall=0.0",16,1.41176470588235,0.973702668073344
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=1.0_fall=0.2",16,1.41176470588235,0.973702668073344
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=1.0_fall=0.5",16,1.41176470588235,0.973702668073344
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=1.0_fall=0.8",15,1.5,1.06066017177982
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=1.0_fall=1.0",15,1.5,1.06066017177982
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.6_rise=0.0_fall=0.0",13,1.71428571428571,0.95831484749991
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.6_rise=0.0_fall=0.2",12,1.84615384615385,1.0986812966989
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.6_rise=0.0_fall=0.5",12,1.84615384615385,1.0986812966989
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.6_rise=0.0_fall=0.8",11,2,1.15470053837925
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.6_rise=0.0_fall=1.0",6,3.42857142857143,2.96922995583236
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.6_rise=0.2_fall=0.0",14,1.6,0.879393730551528
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.6_rise=0.2_fall=0.2",13,1.71428571428571,1.03015750727543
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.6_rise=0.2_fall=0.5",13,1.71428571428571,1.03015750727543
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.6_rise=0.2_fall=0.8",12,1.84615384615385,1.0986812966989
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.6_rise=0.2_fall=1.0",7,3,2.87228132326901
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.6_rise=0.5_fall=0.0",15,1.5,0.866025403784439
